item_a,item_b,department_a,department_b,basket_count,pair_basket_count,support,confidence_a_to_b,confidence_b_to_a,lift,category_affinity,anchor_item,recommended_item,recommendation_confidence,cross_sell_opportunity
CHEESE,SUGARS/SWEETNERS,GROCERY,GROCERY,191561,4059,0.021189,0.088706,0.4152,1.738193,CHEESE + SUGARS/SWEETNERS,SUGARS/SWEETNERS,CHEESE,0.4152,Recommend CHEESE to baskets containing SUGARS/SWEETNERS
DRY MIX DESSERTS,WAREHOUSE SNACKS,GROCERY,GROCERY,191561,289,0.001509,0.056029,0.046802,1.738148,DRY MIX DESSERTS + WAREHOUSE SNACKS,DRY MIX DESSERTS,WAREHOUSE SNACKS,0.056029,Recommend WAREHOUSE SNACKS to baskets containing DRY MIX DESSERTS
 ,FROZEN PIZZA, ,GROCERY,191561,1340,0.006995,0.198049,0.061392,1.738144,  + FROZEN PIZZA, ,FROZEN PIZZA,0.198049,Recommend FROZEN PIZZA to baskets containing  
HAIR CARE PRODUCTS,YOGURT,DRUG GM,GROCERY,191561,1109,0.005789,0.15375,0.065447,1.738126,HAIR CARE PRODUCTS + YOGURT,HAIR CARE PRODUCTS,YOGURT,0.15375,Recommend YOGURT to baskets containing HAIR CARE PRODUCTS
CANNED JUICES,FRZN MEAT/MEAT DINNERS,GROCERY,GROCERY,191561,3767,0.019665,0.196116,0.174277,1.738062,CANNED JUICES + FRZN MEAT/MEAT DINNERS,CANNED JUICES,FRZN MEAT/MEAT DINNERS,0.196116,Recommend FRZN MEAT/MEAT DINNERS to baskets containing CANNED JUICES
PAPER HOUSEWARES,WAREHOUSE SNACKS,GROCERY,GROCERY,191561,409,0.002135,0.056012,0.066235,1.737607,PAPER HOUSEWARES + WAREHOUSE SNACKS,WAREHOUSE SNACKS,PAPER HOUSEWARES,0.066235,Recommend PAPER HOUSEWARES to baskets containing WAREHOUSE SNACKS
CARROTS,ORAL HYGIENE PRODUCTS,PRODUCE,DRUG GM,191561,528,0.002756,0.065371,0.073262,1.737546,CARROTS + ORAL HYGIENE PRODUCTS,ORAL HYGIENE PRODUCTS,CARROTS,0.073262,Recommend CARROTS to baskets containing ORAL HYGIENE PRODUCTS
POTATOES,ROLLS,PRODUCE,PASTRY,191561,659,0.00344,0.044684,0.133753,1.737308,POTATOES + ROLLS,ROLLS,POTATOES,0.133753,Recommend POTATOES to baskets containing ROLLS
FD WRAPS/BAGS/TRSH BG,FROZEN PIE/DESSERTS,GROCERY,GROCERY,191561,589,0.003075,0.055766,0.095788,1.737288,FD WRAPS/BAGS/TRSH BG + FROZEN PIE/DESSERTS,FROZEN PIE/DESSERTS,FD WRAPS/BAGS/TRSH BG,0.095788,Recommend FD WRAPS/BAGS/TRSH BG to baskets containing FROZEN PIE/DESSERTS
FRZN VEGETABLE/VEG DSH,SNACK NUTS,GROCERY,GROCERY,191561,496,0.002589,0.04045,0.111186,1.736982,FRZN VEGETABLE/VEG DSH + SNACK NUTS,SNACK NUTS,FRZN VEGETABLE/VEG DSH,0.111186,Recommend FRZN VEGETABLE/VEG DSH to baskets containing SNACK NUTS
FROZEN PIE/DESSERTS,HOT CEREAL,GROCERY,GROCERY,191561,298,0.001556,0.048463,0.055732,1.736236,FROZEN PIE/DESSERTS + HOT CEREAL,HOT CEREAL,FROZEN PIE/DESSERTS,0.055732,Recommend FROZEN PIE/DESSERTS to baskets containing HOT CEREAL
FRUIT - SHELF STABLE,HAIR CARE PRODUCTS,GROCERY,DRUG GM,191561,830,0.004333,0.065375,0.11507,1.73621,FRUIT - SHELF STABLE + HAIR CARE PRODUCTS,HAIR CARE PRODUCTS,FRUIT - SHELF STABLE,0.11507,Recommend FRUIT - SHELF STABLE to baskets containing HAIR CARE PRODUCTS
FD WRAPS/BAGS/TRSH BG,SEAFOOD - FROZEN,GROCERY,SEAFOOD-PCKGD,191561,686,0.003581,0.06495,0.095716,1.735992,FD WRAPS/BAGS/TRSH BG + SEAFOOD - FROZEN,SEAFOOD - FROZEN,FD WRAPS/BAGS/TRSH BG,0.095716,Recommend FD WRAPS/BAGS/TRSH BG to baskets containing SEAFOOD - FROZEN
HOT DOGS,TOMATOES,MEAT-PCKGD,PRODUCE,191561,1426,0.007444,0.135038,0.095698,1.73599,HOT DOGS + TOMATOES,HOT DOGS,TOMATOES,0.135038,Recommend TOMATOES to baskets containing HOT DOGS
DELI MEATS,MARGARINES,DELI,GROCERY,191561,1962,0.010242,0.118285,0.150299,1.73578,DELI MEATS + MARGARINES,MARGARINES,DELI MEATS,0.150299,Recommend DELI MEATS to baskets containing MARGARINES
BATH TISSUES,FRZN POTATOES,GROCERY,GROCERY,191561,909,0.004745,0.070542,0.116763,1.735778,BATH TISSUES + FRZN POTATOES,FRZN POTATOES,BATH TISSUES,0.116763,Recommend BATH TISSUES to baskets containing FRZN POTATOES
CANNED JUICES,LUNCHMEAT,GROCERY,MEAT-PCKGD,191561,3983,0.020792,0.207362,0.174029,1.735587,CANNED JUICES + LUNCHMEAT,CANNED JUICES,LUNCHMEAT,0.207362,Recommend LUNCHMEAT to baskets containing CANNED JUICES
BREAD,STONE FRUIT,PASTRY,PRODUCE,191561,372,0.001942,0.048362,0.069676,1.735205,BREAD + STONE FRUIT,STONE FRUIT,BREAD,0.069676,Recommend BREAD to baskets containing STONE FRUIT
FRZN BREAKFAST FOODS,SPICES & EXTRACTS,GROCERY,GROCERY,191561,570,0.002976,0.082121,0.062865,1.734987,FRZN BREAKFAST FOODS + SPICES & EXTRACTS,FRZN BREAKFAST FOODS,SPICES & EXTRACTS,0.082121,Recommend SPICES & EXTRACTS to baskets containing FRZN BREAKFAST FOODS
PASTA SAUCE,STONE FRUIT,GROCERY,PRODUCE,191561,542,0.002829,0.048354,0.101517,1.734921,PASTA SAUCE + STONE FRUIT,STONE FRUIT,PASTA SAUCE,0.101517,Recommend PASTA SAUCE to baskets containing STONE FRUIT
HISPANIC,MARGARINES,GROCERY,GROCERY,191561,1609,0.008399,0.118213,0.123257,1.73472,HISPANIC + MARGARINES,MARGARINES,HISPANIC,0.123257,Recommend HISPANIC to baskets containing MARGARINES
FRZN NOVELTIES/WTR ICE,LUNCHMEAT,GROCERY,MEAT-PCKGD,191561,2012,0.010503,0.207252,0.08791,1.734668,FRZN NOVELTIES/WTR ICE + LUNCHMEAT,FRZN NOVELTIES/WTR ICE,LUNCHMEAT,0.207252,Recommend LUNCHMEAT to baskets containing FRZN NOVELTIES/WTR ICE
FACIAL TISS/DNR NAPKIN,HISPANIC,GROCERY,GROCERY,191561,809,0.004223,0.123248,0.059437,1.734591,FACIAL TISS/DNR NAPKIN + HISPANIC,FACIAL TISS/DNR NAPKIN,HISPANIC,0.123248,Recommend HISPANIC to baskets containing FACIAL TISS/DNR NAPKIN
FRZN MEAT/MEAT DINNERS,ISOTONIC DRINKS,GROCERY,GROCERY,191561,970,0.005064,0.044876,0.195722,1.734572,FRZN MEAT/MEAT DINNERS + ISOTONIC DRINKS,ISOTONIC DRINKS,FRZN MEAT/MEAT DINNERS,0.195722,Recommend FRZN MEAT/MEAT DINNERS to baskets containing ISOTONIC DRINKS
HISPANIC,LAUNDRY DETERGENTS,GROCERY,GROCERY,191561,957,0.004996,0.070311,0.123245,1.734553,HISPANIC + LAUNDRY DETERGENTS,LAUNDRY DETERGENTS,HISPANIC,0.123245,Recommend HISPANIC to baskets containing LAUNDRY DETERGENTS
CHEESE,FROZEN PIZZA,GROCERY,GROCERY,191561,9043,0.047207,0.197627,0.414303,1.734437,CHEESE + FROZEN PIZZA,FROZEN PIZZA,CHEESE,0.414303,Recommend CHEESE to baskets containing FROZEN PIZZA
CARROTS,PAPER HOUSEWARES,PRODUCE,GROCERY,191561,534,0.002788,0.066114,0.073131,1.734429,CARROTS + PAPER HOUSEWARES,PAPER HOUSEWARES,CARROTS,0.073131,Recommend CARROTS to baskets containing PAPER HOUSEWARES
GREETING CARDS/WRAP/PARTY SPLY,SOAP - LIQUID & BAR,DRUG GM,DRUG GM,191561,320,0.00167,0.049651,0.058352,1.73435,GREETING CARDS/WRAP/PARTY SPLY + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,GREETING CARDS/WRAP/PARTY SPLY,0.058352,Recommend GREETING CARDS/WRAP/PARTY SPLY to baskets containing SOAP - LIQUID & BAR
FRZN MEAT/MEAT DINNERS,PORK,GROCERY,MEAT,191561,2334,0.012184,0.107981,0.19569,1.734289,FRZN MEAT/MEAT DINNERS + PORK,PORK,FRZN MEAT/MEAT DINNERS,0.19569,Recommend FRZN MEAT/MEAT DINNERS to baskets containing PORK
FACIAL TISS/DNR NAPKIN,PEPPERS-ALL,GROCERY,PRODUCE,191561,473,0.002469,0.07206,0.059422,1.73415,FACIAL TISS/DNR NAPKIN + PEPPERS-ALL,FACIAL TISS/DNR NAPKIN,PEPPERS-ALL,0.07206,Recommend PEPPERS-ALL to baskets containing FACIAL TISS/DNR NAPKIN
HAIR CARE PRODUCTS,ORGANICS FRUIT & VEGETABLES,DRUG GM,PRODUCE,191561,336,0.001754,0.046583,0.065293,1.734046,HAIR CARE PRODUCTS + ORGANICS FRUIT & VEGETABLES,ORGANICS FRUIT & VEGETABLES,HAIR CARE PRODUCTS,0.065293,Recommend HAIR CARE PRODUCTS to baskets containing ORGANICS FRUIT & VEGETABLES
FRZN NOVELTIES/WTR ICE,PORK,GROCERY,MEAT,191561,1048,0.005471,0.107952,0.087868,1.733834,FRZN NOVELTIES/WTR ICE + PORK,FRZN NOVELTIES/WTR ICE,PORK,0.107952,Recommend PORK to baskets containing FRZN NOVELTIES/WTR ICE
BEANS - CANNED GLASS & MW,SOAP - LIQUID & BAR,GROCERY,DRUG GM,191561,451,0.002354,0.049631,0.082239,1.733667,BEANS - CANNED GLASS & MW + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,BEANS - CANNED GLASS & MW,0.082239,Recommend BEANS - CANNED GLASS & MW to baskets containing SOAP - LIQUID & BAR
HOT CEREAL,TOMATOES,GROCERY,PRODUCE,191561,721,0.003764,0.134842,0.048386,1.733472,HOT CEREAL + TOMATOES,HOT CEREAL,TOMATOES,0.134842,Recommend TOMATOES to baskets containing HOT CEREAL
COOKIES/CONES,LAUNDRY DETERGENTS,GROCERY,GROCERY,191561,1148,0.005993,0.070257,0.147843,1.733227,COOKIES/CONES + LAUNDRY DETERGENTS,LAUNDRY DETERGENTS,COOKIES/CONES,0.147843,Recommend COOKIES/CONES to baskets containing LAUNDRY DETERGENTS
CHEESE,HEAT/SERVE,GROCERY,MEAT-PCKGD,191561,2092,0.010921,0.045719,0.414011,1.733215,CHEESE + HEAT/SERVE,HEAT/SERVE,CHEESE,0.414011,Recommend CHEESE to baskets containing HEAT/SERVE
ORAL HYGIENE PRODUCTS,REFRIGERATED,DRUG GM,NUTRITION,191561,317,0.001655,0.043985,0.0652,1.732993,ORAL HYGIENE PRODUCTS + REFRIGERATED,REFRIGERATED,ORAL HYGIENE PRODUCTS,0.0652,Recommend ORAL HYGIENE PRODUCTS to baskets containing REFRIGERATED
DRY SAUCES/GRAVY,FACIAL TISS/DNR NAPKIN,GROCERY,GROCERY,191561,365,0.001905,0.059369,0.055606,1.732597,DRY SAUCES/GRAVY + FACIAL TISS/DNR NAPKIN,DRY SAUCES/GRAVY,FACIAL TISS/DNR NAPKIN,0.059369,Recommend FACIAL TISS/DNR NAPKIN to baskets containing DRY SAUCES/GRAVY
POTATOES,YOGURT,PRODUCE,GROCERY,191561,2260,0.011798,0.153241,0.133373,1.732371,POTATOES + YOGURT,POTATOES,YOGURT,0.153241,Recommend YOGURT to baskets containing POTATOES
FRZN NOVELTIES/WTR ICE,FRZN VEGETABLE/VEG DSH,GROCERY,GROCERY,191561,1076,0.005617,0.110836,0.087751,1.731523,FRZN NOVELTIES/WTR ICE + FRZN VEGETABLE/VEG DSH,FRZN NOVELTIES/WTR ICE,FRZN VEGETABLE/VEG DSH,0.110836,Recommend FRZN VEGETABLE/VEG DSH to baskets containing FRZN NOVELTIES/WTR ICE
DINNER MXS:DRY,VEGETABLES SALAD,GROCERY,PRODUCE,191561,1201,0.00627,0.094433,0.11495,1.731403,DINNER MXS:DRY + VEGETABLES SALAD,VEGETABLES SALAD,DINNER MXS:DRY,0.11495,Recommend DINNER MXS:DRY to baskets containing VEGETABLES SALAD
CONDIMENTS/SAUCES,ISOTONIC DRINKS,GROCERY,GROCERY,191561,768,0.004009,0.044792,0.154964,1.731307,CONDIMENTS/SAUCES + ISOTONIC DRINKS,ISOTONIC DRINKS,CONDIMENTS/SAUCES,0.154964,Recommend CONDIMENTS/SAUCES to baskets containing ISOTONIC DRINKS
HEAT/SERVE,ORGANICS FRUIT & VEGETABLES,MEAT-PCKGD,PRODUCE,191561,235,0.001227,0.046507,0.045667,1.731234,HEAT/SERVE + ORGANICS FRUIT & VEGETABLES,HEAT/SERVE,ORGANICS FRUIT & VEGETABLES,0.046507,Recommend ORGANICS FRUIT & VEGETABLES to baskets containing HEAT/SERVE
DINNER MXS:DRY,VEGETABLES - ALL OTHERS,GROCERY,PRODUCE,191561,1827,0.009537,0.143655,0.114935,1.731167,DINNER MXS:DRY + VEGETABLES - ALL OTHERS,DINNER MXS:DRY,VEGETABLES - ALL OTHERS,0.143655,Recommend VEGETABLES - ALL OTHERS to baskets containing DINNER MXS:DRY
COFFEE,CONDIMENTS/SAUCES,GROCERY,GROCERY,191561,1673,0.008734,0.154936,0.097574,1.730999,COFFEE + CONDIMENTS/SAUCES,COFFEE,CONDIMENTS/SAUCES,0.154936,Recommend CONDIMENTS/SAUCES to baskets containing COFFEE
CONVENIENT BRKFST/WHLSM SNACKS,EGGS,GROCERY,GROCERY,191561,3261,0.017023,0.244746,0.120372,1.730606,CONVENIENT BRKFST/WHLSM SNACKS + EGGS,CONVENIENT BRKFST/WHLSM SNACKS,EGGS,0.244746,Recommend EGGS to baskets containing CONVENIENT BRKFST/WHLSM SNACKS
FACIAL TISS/DNR NAPKIN,SEAFOOD - FROZEN,GROCERY,SEAFOOD-PCKGD,191561,425,0.002219,0.064747,0.0593,1.730573,FACIAL TISS/DNR NAPKIN + SEAFOOD - FROZEN,FACIAL TISS/DNR NAPKIN,SEAFOOD - FROZEN,0.064747,Recommend SEAFOOD - FROZEN to baskets containing FACIAL TISS/DNR NAPKIN
BERRIES,SALADS/DIPS,PRODUCE,DELI,191561,460,0.002401,0.05206,0.079792,1.729856,BERRIES + SALADS/DIPS,SALADS/DIPS,BERRIES,0.079792,Recommend BERRIES to baskets containing SALADS/DIPS
MARGARINES,SALAD MIX,GROCERY,PRODUCE,191561,1777,0.009276,0.136127,0.117862,1.729561,MARGARINES + SALAD MIX,MARGARINES,SALAD MIX,0.136127,Recommend SALAD MIX to baskets containing MARGARINES
HOT DOGS,VEGETABLES SALAD,MEAT-PCKGD,PRODUCE,191561,996,0.005199,0.094318,0.095329,1.729296,HOT DOGS + VEGETABLES SALAD,VEGETABLES SALAD,HOT DOGS,0.095329,Recommend HOT DOGS to baskets containing VEGETABLES SALAD
ORAL HYGIENE PRODUCTS,SOUP,DRUG GM,GROCERY,191561,1470,0.007674,0.203968,0.065059,1.729249,ORAL HYGIENE PRODUCTS + SOUP,ORAL HYGIENE PRODUCTS,SOUP,0.203968,Recommend SOUP to baskets containing ORAL HYGIENE PRODUCTS
REFRGRATD DOUGH PRODUCTS,SOAP - LIQUID & BAR,GROCERY,DRUG GM,191561,670,0.003498,0.049501,0.122174,1.729124,REFRGRATD DOUGH PRODUCTS + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,REFRGRATD DOUGH PRODUCTS,0.122174,Recommend REFRGRATD DOUGH PRODUCTS to baskets containing SOAP - LIQUID & BAR
DINNER SAUSAGE,FRZN MEAT/MEAT DINNERS,MEAT-PCKGD,GROCERY,191561,1866,0.009741,0.195107,0.086329,1.729115,DINNER SAUSAGE + FRZN MEAT/MEAT DINNERS,DINNER SAUSAGE,FRZN MEAT/MEAT DINNERS,0.195107,Recommend FRZN MEAT/MEAT DINNERS to baskets containing DINNER SAUSAGE
BAKED SWEET GOODS,MARGARINES,GROCERY,GROCERY,191561,2112,0.011025,0.117824,0.161789,1.729013,BAKED SWEET GOODS + MARGARINES,MARGARINES,BAKED SWEET GOODS,0.161789,Recommend BAKED SWEET GOODS to baskets containing MARGARINES
FACIAL TISS/DNR NAPKIN,VEGETABLES SALAD,GROCERY,PRODUCE,191561,619,0.003231,0.094302,0.059246,1.729004,FACIAL TISS/DNR NAPKIN + VEGETABLES SALAD,FACIAL TISS/DNR NAPKIN,VEGETABLES SALAD,0.094302,Recommend VEGETABLES SALAD to baskets containing FACIAL TISS/DNR NAPKIN
BATH TISSUES,FROZEN PIZZA,GROCERY,GROCERY,191561,2538,0.013249,0.196958,0.116278,1.728568,BATH TISSUES + FROZEN PIZZA,BATH TISSUES,FROZEN PIZZA,0.196958,Recommend FROZEN PIZZA to baskets containing BATH TISSUES
COFFEE,SALAD MIX,GROCERY,PRODUCE,191561,1469,0.007669,0.136044,0.097433,1.728505,COFFEE + SALAD MIX,COFFEE,SALAD MIX,0.136044,Recommend SALAD MIX to baskets containing COFFEE
FD WRAPS/BAGS/TRSH BG,TROPICAL FRUIT,GROCERY,PRODUCE,191561,3015,0.015739,0.285457,0.095291,1.728271,FD WRAPS/BAGS/TRSH BG + TROPICAL FRUIT,FD WRAPS/BAGS/TRSH BG,TROPICAL FRUIT,0.285457,Recommend TROPICAL FRUIT to baskets containing FD WRAPS/BAGS/TRSH BG
 ,GRAPES, ,PRODUCE,191561,597,0.003117,0.088235,0.061037,1.728089,  + GRAPES, ,GRAPES,0.088235,Recommend GRAPES to baskets containing  
CHICKEN,FD WRAPS/BAGS/TRSH BG,MEAT,GROCERY,191561,1385,0.00723,0.095241,0.13113,1.727375,CHICKEN + FD WRAPS/BAGS/TRSH BG,FD WRAPS/BAGS/TRSH BG,CHICKEN,0.13113,Recommend CHICKEN to baskets containing FD WRAPS/BAGS/TRSH BG
BACON,VALUE ADDED FRUIT,MEAT-PCKGD,PRODUCE,191561,531,0.002772,0.050838,0.094182,1.727301,BACON + VALUE ADDED FRUIT,VALUE ADDED FRUIT,BACON,0.094182,Recommend BACON to baskets containing VALUE ADDED FRUIT
BERRIES,CONDIMENTS/SAUCES,PRODUCE,GROCERY,191561,1366,0.007131,0.154595,0.079669,1.727187,BERRIES + CONDIMENTS/SAUCES,BERRIES,CONDIMENTS/SAUCES,0.154595,Recommend CONDIMENTS/SAUCES to baskets containing BERRIES
DISHWASH DETERGENTS,TOMATOES,GROCERY,PRODUCE,191561,787,0.004108,0.134346,0.052815,1.727098,DISHWASH DETERGENTS + TOMATOES,DISHWASH DETERGENTS,TOMATOES,0.134346,Recommend TOMATOES to baskets containing DISHWASH DETERGENTS
CANNED JUICES,SALAD MIX,GROCERY,PRODUCE,191561,2610,0.013625,0.135881,0.173111,1.726436,CANNED JUICES + SALAD MIX,SALAD MIX,CANNED JUICES,0.173111,Recommend CANNED JUICES to baskets containing SALAD MIX
COFFEE,REFRIGERATED,GROCERY,NUTRITION,191561,473,0.002469,0.043804,0.097285,1.725877,COFFEE + REFRIGERATED,REFRIGERATED,COFFEE,0.097285,Recommend COFFEE to baskets containing REFRIGERATED
SALD DRSNG/SNDWCH SPRD,SOAP - LIQUID & BAR,GROCERY,DRUG GM,191561,797,0.004161,0.049405,0.145332,1.725757,SALD DRSNG/SNDWCH SPRD + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,SALD DRSNG/SNDWCH SPRD,0.145332,Recommend SALD DRSNG/SNDWCH SPRD to baskets containing SOAP - LIQUID & BAR
DELI MEATS,HOUSEHOLD CLEANG NEEDS,DELI,GROCERY,191561,1021,0.00533,0.061554,0.149422,1.725653,DELI MEATS + HOUSEHOLD CLEANG NEEDS,HOUSEHOLD CLEANG NEEDS,DELI MEATS,0.149422,Recommend DELI MEATS to baskets containing HOUSEHOLD CLEANG NEEDS
BAKED SWEET GOODS,VEGETABLES - SHELF STABLE,GROCERY,GROCERY,191561,3522,0.018386,0.196485,0.161463,1.725527,BAKED SWEET GOODS + VEGETABLES - SHELF STABLE,BAKED SWEET GOODS,VEGETABLES - SHELF STABLE,0.196485,Recommend VEGETABLES - SHELF STABLE to baskets containing BAKED SWEET GOODS
COLD CEREAL,PEPPERS-ALL,GROCERY,PRODUCE,191561,1744,0.009104,0.071699,0.219095,1.725462,COLD CEREAL + PEPPERS-ALL,PEPPERS-ALL,COLD CEREAL,0.219095,Recommend COLD CEREAL to baskets containing PEPPERS-ALL
 ,CHEESES, ,DELI,191561,671,0.003503,0.099172,0.060922,1.724855,  + CHEESES, ,CHEESES,0.099172,Recommend CHEESES to baskets containing  
BATH TISSUES,POTATOES,GROCERY,PRODUCE,191561,1711,0.008932,0.13278,0.116016,1.724669,BATH TISSUES + POTATOES,BATH TISSUES,POTATOES,0.13278,Recommend POTATOES to baskets containing BATH TISSUES
FRZN MEAT/MEAT DINNERS,MARGARINES,GROCERY,GROCERY,191561,2540,0.013259,0.117511,0.194576,1.724416,FRZN MEAT/MEAT DINNERS + MARGARINES,MARGARINES,FRZN MEAT/MEAT DINNERS,0.194576,Recommend FRZN MEAT/MEAT DINNERS to baskets containing MARGARINES
FRZN VEGETABLE/VEG DSH,LAUNDRY DETERGENTS,GROCERY,GROCERY,191561,857,0.004474,0.069891,0.110367,1.72419,FRZN VEGETABLE/VEG DSH + LAUNDRY DETERGENTS,LAUNDRY DETERGENTS,FRZN VEGETABLE/VEG DSH,0.110367,Recommend FRZN VEGETABLE/VEG DSH to baskets containing LAUNDRY DETERGENTS
FROZEN PIZZA,VEGETABLES - SHELF STABLE,GROCERY,GROCERY,191561,4284,0.022364,0.196271,0.196397,1.723642,FROZEN PIZZA + VEGETABLES - SHELF STABLE,VEGETABLES - SHELF STABLE,FROZEN PIZZA,0.196397,Recommend FROZEN PIZZA to baskets containing VEGETABLES - SHELF STABLE
CARROTS,LUNCHMEAT,PRODUCE,MEAT-PCKGD,191561,1663,0.008681,0.205893,0.072661,1.723298,CARROTS + LUNCHMEAT,CARROTS,LUNCHMEAT,0.205893,Recommend LUNCHMEAT to baskets containing CARROTS
LUNCHMEAT,SHORTENING/OIL,MEAT-PCKGD,GROCERY,191561,1616,0.008436,0.070608,0.20586,1.723018,LUNCHMEAT + SHORTENING/OIL,SHORTENING/OIL,LUNCHMEAT,0.20586,Recommend LUNCHMEAT to baskets containing SHORTENING/OIL
LAUNDRY DETERGENTS,PORK,GROCERY,MEAT,191561,833,0.004348,0.107276,0.069842,1.722977,LAUNDRY DETERGENTS + PORK,LAUNDRY DETERGENTS,PORK,0.107276,Recommend PORK to baskets containing LAUNDRY DETERGENTS
BACON,BERRIES,MEAT-PCKGD,PRODUCE,191561,830,0.004333,0.079464,0.093934,1.722745,BACON + BERRIES,BERRIES,BACON,0.093934,Recommend BACON to baskets containing BERRIES
DISHWASH DETERGENTS,MEAT - SHELF STABLE,GROCERY,GROCERY,191561,694,0.003623,0.11847,0.052672,1.722398,DISHWASH DETERGENTS + MEAT - SHELF STABLE,DISHWASH DETERGENTS,MEAT - SHELF STABLE,0.11847,Recommend MEAT - SHELF STABLE to baskets containing DISHWASH DETERGENTS
FD WRAPS/BAGS/TRSH BG,GREETING CARDS/WRAP/PARTY SPLY,GROCERY,DRUG GM,191561,612,0.003195,0.057944,0.094957,1.722223,FD WRAPS/BAGS/TRSH BG + GREETING CARDS/WRAP/PARTY SPLY,GREETING CARDS/WRAP/PARTY SPLY,FD WRAPS/BAGS/TRSH BG,0.094957,Recommend FD WRAPS/BAGS/TRSH BG to baskets containing GREETING CARDS/WRAP/PARTY SPLY
REFRGRATD JUICES/DRNKS,SEAFOOD - FROZEN,GROCERY,SEAFOOD-PCKGD,191561,1598,0.008342,0.064428,0.222966,1.722036,REFRGRATD JUICES/DRNKS + SEAFOOD - FROZEN,SEAFOOD - FROZEN,REFRGRATD JUICES/DRNKS,0.222966,Recommend REFRGRATD JUICES/DRNKS to baskets containing SEAFOOD - FROZEN
CHEESES,HISPANIC,DELI,GROCERY,191561,1347,0.007032,0.122299,0.098964,1.721233,CHEESES + HISPANIC,CHEESES,HISPANIC,0.122299,Recommend HISPANIC to baskets containing CHEESES
HEAT/SERVE,PICKLE/RELISH/PKLD VEG,MEAT-PCKGD,GROCERY,191561,268,0.001399,0.053038,0.045393,1.720863,HEAT/SERVE + PICKLE/RELISH/PKLD VEG,HEAT/SERVE,PICKLE/RELISH/PKLD VEG,0.053038,Recommend PICKLE/RELISH/PKLD VEG to baskets containing HEAT/SERVE
 ,VEGETABLES SALAD, ,PRODUCE,191561,635,0.003315,0.093852,0.060777,1.720742,  + VEGETABLES SALAD, ,VEGETABLES SALAD,0.093852,Recommend VEGETABLES SALAD to baskets containing  
BACON,BAKING NEEDS,MEAT-PCKGD,GROCERY,191561,928,0.004844,0.088846,0.093813,1.720531,BACON + BAKING NEEDS,BAKING NEEDS,BACON,0.093813,Recommend BACON to baskets containing BAKING NEEDS
ISOTONIC DRINKS,SEAFOOD - SHELF STABLE,GROCERY,GROCERY,191561,335,0.001749,0.067595,0.044512,1.720507,ISOTONIC DRINKS + SEAFOOD - SHELF STABLE,ISOTONIC DRINKS,SEAFOOD - SHELF STABLE,0.067595,Recommend SEAFOOD - SHELF STABLE to baskets containing ISOTONIC DRINKS
FRZN NOVELTIES/WTR ICE,REFRGRATD DOUGH PRODUCTS,GROCERY,GROCERY,191561,1180,0.00616,0.121549,0.087181,1.720288,FRZN NOVELTIES/WTR ICE + REFRGRATD DOUGH PRODUCTS,FRZN NOVELTIES/WTR ICE,REFRGRATD DOUGH PRODUCTS,0.121549,Recommend REFRGRATD DOUGH PRODUCTS to baskets containing FRZN NOVELTIES/WTR ICE
COLD AND FLU,HAIR CARE PRODUCTS,DRUG GM,DRUG GM,191561,264,0.001378,0.064769,0.036601,1.720129,COLD AND FLU + HAIR CARE PRODUCTS,COLD AND FLU,HAIR CARE PRODUCTS,0.064769,Recommend HAIR CARE PRODUCTS to baskets containing COLD AND FLU
CHICKEN,COFFEE,MEAT,GROCERY,191561,1410,0.007361,0.096961,0.13058,1.72012,CHICKEN + COFFEE,COFFEE,CHICKEN,0.13058,Recommend CHICKEN to baskets containing COFFEE
BREAD,SEAFOOD - FROZEN,PASTRY,SEAFOOD-PCKGD,191561,495,0.002584,0.064353,0.069067,1.720028,BREAD + SEAFOOD - FROZEN,SEAFOOD - FROZEN,BREAD,0.069067,Recommend BREAD to baskets containing SEAFOOD - FROZEN
CARROTS,COOKIES/CONES,PRODUCE,GROCERY,191561,1185,0.006186,0.146713,0.072521,1.71998,CARROTS + COOKIES/CONES,CARROTS,COOKIES/CONES,0.146713,Recommend COOKIES/CONES to baskets containing CARROTS
 ,SALD DRSNG/SNDWCH SPRD, ,GROCERY,191561,980,0.005116,0.144842,0.060749,1.719939,  + SALD DRSNG/SNDWCH SPRD, ,SALD DRSNG/SNDWCH SPRD,0.144842,Recommend SALD DRSNG/SNDWCH SPRD to baskets containing  
CITRUS,DISHWASH DETERGENTS,PRODUCE,GROCERY,191561,514,0.002683,0.052594,0.087743,1.719859,CITRUS + DISHWASH DETERGENTS,DISHWASH DETERGENTS,CITRUS,0.087743,Recommend CITRUS to baskets containing DISHWASH DETERGENTS
CHEESE,ORGANICS FRUIT & VEGETABLES,GROCERY,PRODUCE,191561,2114,0.011036,0.0462,0.410805,1.719789,CHEESE + ORGANICS FRUIT & VEGETABLES,ORGANICS FRUIT & VEGETABLES,CHEESE,0.410805,Recommend CHEESE to baskets containing ORGANICS FRUIT & VEGETABLES
